Filename Black_Hair Eyeglasses Heavy_Makeup Male Mustache Pale_Skin Smiling Wavy_Hair Wearing_Hat Young
000001.jpg 0 0 1 0 0 0 1 0 0 1
000002.jpg 0 0 0 0 0 0 1 0 0 1
000003.jpg 0 0 0 1 0 0 0 1 0 1
000004.jpg 0 0 0 0 0 0 0 0 0 1
000005.jpg 0 0 1 0 0 0 0 0 0 1
000006.jpg 0 0 1 0 0 0 0 1 0 1
000007.jpg 1 0 0 1 0 0 0 0 0 1
000008.jpg 1 0 0 1 0 0 0 0 0 1
000009.jpg 0 0 1 0 0 0 1 0 0 1
000010.jpg 0 0 1 0 0 0 0 1 0 1
000011.jpg 1 0 0 0 0 0 1 0 0 1
000012.jpg 1 0 0 1 0 0 1 0 0 1
000013.jpg 0 0 0 1 0 0 1 0 0 1
000014.jpg 1 0 1 0 0 0 1 0 0 1
000015.jpg 0 0 0 1 0 0 0 0 0 0
000016.jpg 0 0 0 1 0 0 1 0 0 1
000017.jpg 1 0 0 0 0 0 1 0 0 1
000018.jpg 0 0 1 0 0 0 1 1 0 0
000019.jpg 0 0 1 0 0 1 0 1 0 1
000020.jpg 1 0 0 1 0 0 0 0 0 1
000021.jpg 0 0 0 1 0 0 1 0 0 0
000022.jpg 0 0 1 0 0 0 0 1 0 1
000023.jpg 0 0 0 1 0 0 1 0 0 1
000024.jpg 0 0 1 0 0 0 0 0 0 1
000025.jpg 0 0 0 1 0 0 0 0 0 1
000026.jpg 0 0 0 0 0 0 0 0 0 1
000027.jpg 1 0 1 0 0 0 1 1 0 1
000028.jpg 0 0 1 0 0 0 1 1 0 1
000029.jpg 0 0 1 0 0 0 1 1 0 1
000030.jpg 0 0 0 1 0 0 0 1 0 0
000031.jpg 0 0 0 0 0 0 1 0 0 1
000032.jpg 0 0 0 1 0 0 0 0 0 0
000033.jpg 1 0 0 1 0 0 1 0 0 1
000034.jpg 0 0 1 0 0 0 0 1 0 1
000035.jpg 1 0 1 0 0 0 0 1 0 1
000036.jpg 1 0 0 1 0 0 0 0 0 1
000037.jpg 0 0 0 1 0 0 0 0 1 1
000038.jpg 0 0 0 1 0 0 1 0 0 1
000039.jpg 0 0 1 0 0 0 1 1 0 1
000040.jpg 1 0 1 0 0 0 0 0 0 1
000041.jpg 1 0 0 1 0 0 1 0 0 1
000042.jpg 0 0 1 0 0 0 1 0 0 1
000043.jpg 0 0 1 0 0 0 1 1 0 1
000044.jpg 1 0 0 0 0 0 0 0 0 1
000045.jpg 0 0 1 0 0 0 1 1 0 1
000046.jpg 1 0 1 0 0 0 1 1 0 1
000047.jpg 1 0 1 0 0 0 1 0 0 1
000048.jpg 0 0 0 1 0 1 0 0 0 1
000049.jpg 1 0 0 1 0 0 0 0 0 0
000050.jpg 1 0 0 1 0 0 1 0 0 1
000051.jpg 0 0 0 1 0 0 0 0 0 0
000052.jpg 0 0 0 1 0 0 0 0 0 0
000053.jpg 0 1 0 1 0 0 0 0 0 0
000054.jpg 0 0 1 0 0 0 1 1 0 1
000055.jpg 1 0 0 1 0 0 0 1 0 0
000056.jpg 1 0 0 1 0 0 0 0 0 1
000057.jpg 1 0 1 0 0 0 0 0 0 1
000058.jpg 0 0 1 0 0 0 0 1 0 1
000059.jpg 1 0 0 0 0 0 0 0 0 1
000060.jpg 0 0 0 1 0 0 0 0 0 1
000061.jpg 0 0 0 1 0 0 0 0 0 1
000062.jpg 0 0 1 0 0 0 1 0 0 1
000063.jpg 0 0 1 0 0 0 1 1 0 1
000064.jpg 0 0 0 1 0 0 1 0 0 1
000065.jpg 1 0 0 1 0 0 1 0 0 1
000066.jpg 0 0 0 0 0 0 1 0 0 0
000067.jpg 0 0 0 1 0 0 0 0 0 0
000068.jpg 0 0 0 1 0 0 1 0 1 0
000069.jpg 0 0 0 1 0 0 0 0 0 0
000070.jpg 1 0 0 1 0 0 1 0 0 1
000071.jpg 0 0 1 0 0 0 1 0 0 1
000072.jpg 1 0 0 1 0 0 1 0 0 0
000073.jpg 1 0 1 0 0 0 0 1 0 1
000074.jpg 0 0 1 0 0 0 0 0 1 1
000075.jpg 0 0 1 0 0 0 0 0 0 1
000076.jpg 1 0 0 1 0 0 1 0 0 1
000077.jpg 0 0 1 0 0 0 1 1 0 1
000078.jpg 1 0 1 0 0 0 0 0 0 1
000079.jpg 0 0 0 1 0 0 1 0 0 0
000080.jpg 1 0 0 1 0 0 0 0 0 1
000081.jpg 1 0 0 1 0 0 1 0 0 1
000082.jpg 0 0 0 1 0 0 1 0 0 1
000083.jpg 0 0 1 0 0 0 1 1 0 1
000084.jpg 0 0 0 0 0 0 0 1 0 0
000085.jpg 0 0 1 0 0 0 0 1 0 1
000086.jpg 0 0 0 0 0 0 0 0 0 1
000087.jpg 0 0 0 0 0 0 1 0 0 1
000088.jpg 0 0 1 0 0 0 0 1 0 1
000089.jpg 0 0 0 0 0 1 0 1 0 1
000090.jpg 0 0 0 1 0 0 0 0 0 1
000091.jpg 1 0 0 1 0 0 0 0 0 1
000092.jpg 0 0 1 0 0 0 1 0 0 1
000093.jpg 0 1 0 0 0 0 0 0 0 1
000094.jpg 0 0 0 0 0 0 1 0 0 0
000095.jpg 0 0 0 0 0 0 0 0 1 1
000096.jpg 0 0 0 0 0 0 0 1 0 1
000097.jpg 0 0 1 0 0 0 0 1 0 1
000098.jpg 1 0 1 0 0 0 0 1 0 1
000099.jpg 0 0 1 0 0 0 1 1 0 1
000100.jpg 0 0 1 0 0 0 0 0 0 1
000101.jpg 1 0 0 0 0 0 0 0 0 1
000102.jpg 1 0 0 1 0 0 0 0 0 1
000103.jpg 0 0 1 0 0 0 0 0 0 1
000104.jpg 0 0 0 1 0 1 1 0 0 1
000105.jpg 0 0 0 1 0 0 0 0 0 1
